Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Population municipale 2020
02299;Évergnicourt;534
02302;Faverolles;332
02303;Fayet;684
02304;La Fère;2845
02305;Fère-en-Tardenois;2970
02306;La Ferté-Chevresis;513
02307;La Ferté-Milon;2055
02308;Fesmy-le-Sart;489
02309;Festieux;683
02310;Fieulaine;250
02311;Filain;118
02312;La Flamengrie;1088
02313;Flavigny-le-Grand-et-Beaurain;444
02315;Flavy-le-Martel;1660
02316;Fleury;124
02317;Fluquières;212
02318;Folembray;1377
02319;Fonsomme;500
02320;Fontaine-lès-Clercs;233
02321;Fontaine-lès-Vervins;892
02322;Fontaine-Notre-Dame;383
02323;Fontaine-Uterte;138
02324;Fontenelle;288
02326;Fontenoy;467
02327;Foreste;159
02328;Fossoy;512
02329;Fourdrain;434
02330;Francilly-Selency;546
02331;Franqueville;108
02332;Fresnes-en-Tardenois;271
02333;Fresnes-sous-Coucy;163
02334;Fresnoy-le-Grand;2946
02335;Fressancourt;179
02336;Frières-Faillouël;981
02337;Froidestrées;177
02338;Froidmont-Cohartille;250
02339;Gandelu;695
02340;Gauchy;5216
02341;Gercy;262
02342;Gergny;130
02343;Germaine;82
02345;Gibercourt;40
02346;Gizy;654
02347;Gland;438
02349;Goudelancourt-lès-Berrieux;56
02350;Goudelancourt-lès-Pierrepont;138
02351;Goussancourt;113
02352;Gouy;563
02353;Grandlup-et-Fay;281
02354;Grandrieux;79
02355;Gricourt;945
02356;Grisolles;234
02357;Gronard;70
02358;Grougis;321
02359;Grugies;1274
02360;Villeneuve-sur-Aisne;2780
02361;Guise;4559
02362;Guivry;238
02363;Guny;374
02364;Guyencourt;254
02366;Hannapes;326
02367;Happencourt;146
02368;Haramont;568
02369;Harcigny;242
02370;Hargicourt;590
02371;Harly;1567
02372;Hartennes-et-Taux;344
02373;Hary;193
02374;Lehaucourt;853
02375;Hautevesnes;160
02376;Hauteville;177
02377;Haution;133
02378;La Hérie;126
02379;Le Hérie-la-Viéville;198
02380;Hinacourt;26
02381;Hirson;8685
02382;Holnon;1360
02383;Homblières;1441
02384;Houry;57
02385;Housset;165
02386;Iron;225
02387;Itancourt;1007
02388;Iviers;221
02389;Jaulgonne;666
02390;Jeancourt;260
02391;Jeantes;212
02392;Joncourt;317
02393;Jouaignes;139
02395;Jumencourt;139
02396;Jumigny;63
02397;Jussy;1252
02398;Juvigny;281
02399;Juvincourt-et-Damary;615
02400;Laffaux;152
02401;Laigny;191
02402;Lanchy;37
02403;Landifay-et-Bertaignemont;257
02404;Landouzy-la-Cour;183
02405;Landouzy-la-Ville;535
02406;Landricourt;131
02407;Laniscourt;208
02408;Laon;24091
02409;Lappion;272
02410;Largny-sur-Automne;242
02411;Latilly;200
02412;Launoy;100
02413;Laval-en-Laonnois;241
02414;Lavaqueresse;201
02415;Laversine;159
02416;Lemé;417
02417;Lempire;120
02418;Lerzy;223
02419;Leschelle;268
02420;Lesdins;830
02421;Lesges;99
02422;Lesquielles-Saint-Germain;802
02423;Leuilly-sous-Coucy;426
02424;Leury;103
02425;Leuze;173
02426;Levergies;541
02427;Lhuys;140
02428;Licy-Clignon;74
02429;Lierval;123
02430;Liesse-Notre-Dame;1270
02431;Liez;378
02432;Limé;190
02433;Lislet;219
02435;Logny-lès-Aubenton;82
02438;Longpont;244
02439;Les Septvallons;1196
02440;Lor;138
02441;Louâtre;181
02442;Loupeigne;90
02443;Lucy-le-Bocage;206
02444;Lugny;125
02445;Luzoir;277
02446;Ly-Fontaine;118
02447;Maast-et-Violaine;148
02448;Mâchecourt;117
02449;Macogny;64
02450;Macquigny;361
02451;Magny-la-Fosse;122
02452;Maissemy;235
02453;Maizy;404
02454;La Malmaison;404
02455;Malzy;196
02456;Manicamp;295
02457;Marchais;389
02458;Dhuys et Morin-en-Brie;822
02459;Marcy;158
02460;Marcy-sous-Marle;206
02461;Marest-Dampcourt;369
