,LATITUDE,LONGITUDE,TIME_EVENT,COUNTRY,YEAR,NEAREST_CITY,Population municipale 2020
2460,45.467,-0.15,2019-04-25 11:00:00,FR,2019,Barbezieux-Saint-Hilaire,4751
2461,43.7,3.883,2019-04-06 23:00:00,FR,2019,Prades-le-Lez,6007
2462,43.667,3.9,2019-04-06 22:00:00,FR,2019,Jacou,6794
2463,43.65,3.883,2019-04-06 22:00:00,FR,2019,Clapiers,5613
2464,43.65,3.783,2019-04-06 20:30:00,FR,2019,Grabels,8885
2465,43.7,3.8,2019-04-06 20:30:00,FR,2019,Saint-Gly-du-Fesc,10397
2466,43.767,3.85,2019-04-06 20:30:00,FR,2019,Saint-Mathieu-de-Trviers,4893
2467,43.617,3.783,2019-04-06 20:30:00,FR,2019,Saint-Georges-d'Orques,5628
2468,43.683,3.917,2019-04-06 19:45:00,FR,2019,Teyran,4640
2469,43.533,3.867,2019-04-06 14:00:00,FR,2019,Villeneuve-ls-Maguelone,10463
2470,43.633,6.999,2019-04-03 14:30:00,FR,2019,Valbonne,13162
2471,43.7,7.25,2019-02-02 17:30:00,FR,2019,Nice,343477
2472,43.55,6.933,2018-12-19 19:00:00,FR,2018,Mandelieu-la-Napoule,21772
2473,43.583,7.05,2018-12-19 18:00:00,FR,2018,Vallauris,27970
2474,43.6,3.883,2018-10-31 19:00:00,FR,2018,Montpellier,299096
2475,43.433,6.733,2018-10-01 15:30:00,FR,2018,Frjus,55750
2476,43.617,6.767,2018-10-01 15:00:00,FR,2018,Saint-Czaire-sur-Siagne,3927
2477,43.117,-0.15,2018-09-05 17:00:00,FR,2018,Lourdes,13247
2478,42.867,2.183,2018-09-05 16:00:00,FR,2018,Quillan,3141
2479,43.3,-0.383,2018-08-28 17:00:00,FR,2018,Billre,13229
2480,42.533,2.367,2018-08-28 16:00:00,FR,2018,Prades,1180
2481,42.533,2.367,2018-08-28 16:00:00,FR,2018,Prades,6081
2482,42.495,2.35,2018-08-28 15:40:00,FR,2018,Prades,1180
2483,42.495,2.35,2018-08-28 15:40:00,FR,2018,Prades,6081
2484,44.05,4.15,2018-08-13 17:00:00,FR,2018,Saint-Hilaire-de-Brethmas,4598
2485,43.194,-0.611,2018-08-12 17:00:00,FR,2018,Oloron-Sainte-Marie,10653
2486,43.217,-0.55,2018-08-12 16:10:00,FR,2018,Monein,4417
